Datetime,Open,High,Low,Close,Volume
2024-05-31 12:19:00-04:00,518.73,518.88,518.71,518.79,104263.0
2024-05-31 12:20:00-04:00,518.78,518.83,518.7,518.77,44166.0
2024-05-31 12:20:00-04:00,518.78,518.83,518.7,518.77,44166.0
2024-05-31 12:21:00-04:00,518.77,518.78,518.51,518.59,220142.0
2024-05-31 12:21:00-04:00,518.77,518.78,518.51,518.59,220142.0
2024-05-31 12:22:00-04:00,518.58,518.59,518.48,518.51,64958.0
2024-05-31 12:22:00-04:00,518.58,518.59,518.48,518.51,64958.0
2024-05-31 12:23:00-04:00,518.51,518.65,518.36,518.63,127107.0
2024-05-31 12:23:00-04:00,518.51,518.65,518.36,518.63,127107.0
2024-05-31 12:24:00-04:00,518.64,518.92,518.58,518.9,115246.0
2024-05-31 12:24:00-04:00,518.64,518.92,518.58,518.9,115246.0
2024-05-31 12:25:00-04:00,518.88,518.9,518.73,518.81,132662.0
2024-05-31 12:25:00-04:00,518.88,518.9,518.73,518.81,132662.0
2024-05-31 12:26:00-04:00,518.81,518.92,518.78,518.8,101850.0
2024-05-31 12:26:00-04:00,518.81,518.92,518.78,518.8,101850.0
2024-05-31 12:27:00-04:00,518.79,518.79,518.68,518.75,55836.0
2024-05-31 12:27:00-04:00,518.79,518.79,518.68,518.75,55836.0
2024-05-31 12:28:00-04:00,518.75,518.88,518.75,518.86,44743.0
2024-05-31 12:28:00-04:00,518.75,518.88,518.75,518.86,44743.0
2024-05-31 12:29:00-04:00,518.87,518.88,518.75,518.81,35842.0
2024-05-31 12:29:00-04:00,518.87,518.88,518.75,518.81,35842.0
2024-05-31 12:30:00-04:00,518.8,519.03,518.76,518.99,66630.0
2024-05-31 12:30:00-04:00,518.8,519.03,518.76,518.99,66630.0
2024-05-31 12:31:00-04:00,519.0,519.07,518.91,518.98,73801.0
2024-05-31 12:31:00-04:00,519.0,519.07,518.91,518.98,73801.0
2024-05-31 12:32:00-04:00,518.97,518.99,518.86,518.9,60662.0
2024-05-31 12:32:00-04:00,518.97,518.99,518.86,518.9,60662.0
