,Open,High,Low,Close,Volume
2024-06-21 11:50:00,545.16,545.305,545.09,545.235,92187.0
2024-06-21 11:49:00,545.12,545.16,544.96,545.154,82221.0
2024-06-21 11:48:00,544.95,545.13,544.92,545.12,62056.0
2024-06-21 11:47:00,544.86,544.96,544.85,544.93,41265.0
2024-06-21 11:46:00,544.62,544.84,544.61,544.84,29802.0
2024-06-21 11:45:00,544.68,544.76,544.6,544.63,58564.0
2024-06-21 11:44:00,544.54,544.73,544.54,544.67,50150.0
2024-06-21 11:43:00,544.64,544.69,544.54,544.54,68152.0
2024-06-21 11:42:00,544.445,544.65,544.44,544.65,140191.0
2024-06-21 11:41:00,544.54,544.589,544.38,544.44,113217.0
2024-06-21 11:40:00,544.47,544.53,544.41,544.53,63823.0
2024-06-21 11:39:00,544.62,544.62,544.41,544.46,200695.0
2024-06-21 11:38:00,544.53,544.74,544.53,544.64,103585.0
2024-06-21 11:37:00,544.42,544.58,544.38,544.53,48569.0
2024-06-21 11:36:00,544.41,544.52,544.4,544.42,66297.0
2024-06-21 11:35:00,544.13,544.44,544.13,544.41,60137.0
2024-06-21 11:34:00,544.18,544.37,544.115,544.12,79349.0
2024-06-21 11:33:00,544.14,544.185,544.01,544.17,104387.0
2024-06-21 11:32:00,544.22,544.27,544.12,544.155,492073.0
2024-06-21 11:31:00,544.25,544.33,544.15,544.224,441750.0
2024-06-21 11:30:00,544.42,544.42,544.24,544.24,57918.0
2024-06-21 11:29:00,544.396,544.52,544.33,544.415,69930.0
2024-06-21 11:28:00,544.63,544.63,544.38,544.38,79897.0
2024-06-21 11:27:00,544.59,544.72,544.59,544.63,49103.0
2024-06-21 11:26:00,544.73,544.76,544.57,544.58,62795.0
2024-06-21 11:25:00,544.73,544.81,544.71,544.73,40011.0
2024-06-21 11:24:00,544.72,544.86,544.69,544.74,99306.0
2024-06-21 11:23:00,544.65,544.73,544.605,544.72,52753.0
2024-06-21 11:22:00,544.845,544.9,544.65,544.653,52985.0
2024-06-21 11:21:00,545.042,545.042,544.84,544.84,60976.0
2024-06-21 11:20:00,545.12,545.25,545.03,545.05,93821.0
2024-06-21 11:19:00,544.93,545.12,544.91,545.119,91856.0
2024-06-21 11:18:00,544.9,544.981,544.88,544.93,58294.0
2024-06-21 11:17:00,544.815,544.9,544.71,544.9,43779.0
2024-06-21 11:16:00,544.67,544.88,544.67,544.824,49348.0
